Paper ID	Title	URL	Authors	ShortDetails	Code sets required	Code sets reported	Assessment
27	Risk of a first ever acute myocardial infarction and all-cause mortality with sulphonylurea treatment: a population-based cohort study.	https://www.ncbi.nlm.nih.gov/pubmed/29171906	van Dalem J, Brouwers MC, Stehouwer CD, Krings A, Klungel OH, Driessen JH, de Vries F, Burden AM.	Diabetes Obes Metab. 2017	non-insulin glucose-lowering drug, AMI, all cause mortality, smoking status, BMI, alcohol use, HbA1c,  total   cholesterol, LDL cholesterol, HDL cholesterol, CVD, congestive   heart   failure,   acute   coronary   syndrome,   atrial   fibrillation, ischaemic heart disease, peripheral vascular disease, cerebrovascular disease, stroke, hypertension,chronic kidney disease, hypoglycaemia, thiazide diuretics, loop diuretics, renin-angiotensin-aldosterone system (RAAS) inhibitors, spironolactone, beta blockers,calcium channel blockers, digoxin, aspirin, clopidogrel, dipyridamole, statins, organic nitrates, oralanticoagulants, insulin, and non-steroidal anti-inflammatory drugs 	none	NONE
28	Identifying clinical features in primary care electronic health record studies: methods for codelist development.	https://www.ncbi.nlm.nih.gov/pubmed/29170293	Watson J, Nicholson BD, Hamilton W, Price S.	BMJ Open. 2017	shortness of breath	shortness of breath	CODE SET
29	Lansoprazole use and tuberculosis incidence in the United Kingdom Clinical Practice Research Datalink: A population based cohort.	https://www.ncbi.nlm.nih.gov/pubmed/29161254	Yates TA, Tomlinson LA, Bhaskaran K, Langan S, Thomas S, Smeeth L, Douglas IJ.	PLoS Med. 2017	lansoprazole, omeprazole, pantoprazole, PPI, TB, smoking behavior, body mass index (BMI), alcohol use, ethnicity, drug abuse, any prior use of inhaled/oral corticosteroids, travel vaccines and antimalarial prescriptions (proxies for travel to TB endemic regions), diabetes, poorly controlled diabetes (one or more measure of HbA1c > 9% in the previous year), rheumatoid arthritis (RA), inflammatory bowel disease (IBD), chronic obstructive pulmonary disease, asthma, chronic kidney disease (CKD), depression, leukaemia, lymphoma, myeloma, and recorded HIV infection	TB	CODE SET
30	Patient-level and practice-level factors associated with consultation duration: a cross-sectional analysis of over one million consultations in English primary care.	https://www.ncbi.nlm.nih.gov/pubmed/29150473	Stevens S, Bankhead C, Mukhtar T, Perera-Salazar R, Holt TA, Salisbury C, Hobbs FDR; NIHR School for Primary Care Research, Nuffield Department of Primary Care Health Sciences, University of Oxford..	BMJ Open. 2017	smoking status	none	NONE
31	Incidence of shoulder dislocations in the UK, 1995-2015: a population-based cohort study.	https://www.ncbi.nlm.nih.gov/pubmed/29138197	Shah A, Judge A, Delmestri A, Edwards K, Arden NK, Prieto-Alhambra D, Holt TA, Pinedo-Villanueva RA, Hopewell S, Lamb SE, Rangan A, Carr AJ, Collins GS, Rees JL.	BMJ Open. 2017	shoulder dislocation, BMI, smoking status, alcohol status, chalson comorbidity index	shoulder dislocation	CODE SET
32	Validation of Cancer Cases Using Primary Care, Cancer Registry, and Hospitalization Data in the UK.	https://www.ncbi.nlm.nih.gov/pubmed/29135571	Margulis AV, Fortuny J, Kaye JA, Calingaert B, Reynolds M, Plana E, McQuay LJ, Atsma WJ, Franks B, de Vogel S, Perez-Gutthann S, Arana A.	Epidemiology. 2017	darifenacin, fesoterodine, oxybutynin, solifenacin, tolterodine, or trospium, HIV,  cancer (except non–melanoma skin cancer)	none	NONE
33	A retrospective observational analysis of post-pandemic influenza-related outcomes in the United Kingdom, 2010-2014.	https://www.ncbi.nlm.nih.gov/pubmed/29135336	Rajaram S, Wiecek W, Lawson R, Blak B, Zhao Y, Hackett J, Brody R, Salimi T, Amzal B, Patel V.	Hum Vaccin Immunother. 2017	Influenza-related illnesses,URTI,LRTI,Other ARTI, Pneumonia,Otitis media,Asthma exacerbations.	influenza like illness, Acute upper respiratory, Otitis media	JUST OUTCOME SETS
34	Continuity of Primary Care and Emergency Hospital Admissions Among Older Patients in England.	https://www.ncbi.nlm.nih.gov/pubmed/29133489	Tammes P, Purdy S, Salisbury C, MacKichan F, Lasserson D, Morris RW.	Ann Fam Med. 2017	epilepsy, chronic renal disease, cancer, asthma, stroke, coronary heart disease, diabetes, chronic obstructive pulmonary disease, depression, and schizophrenia	epilepsy, chronic renal disease, cancer, asthma, stroke, coronary heart disease, diabetes, chronic obstructive pulmonary disease, depression, and schizophrenia	CONSULTATION
35	Venous thromboembolism and mortality in breast cancer: cohort study with systematic review and meta-analysis.	https://www.ncbi.nlm.nih.gov/pubmed/29126386	Khan UT, Walker AJ, Baig S, Card TR, Kirwan CC, Grainge MJ.	BMC Cancer. 2017	charlson, smoking status, BMI, surgery, chemotherapy and endocrine therapy	none	NONE
36	Outputs and Growth of Primary Care Databases in the United Kingdom: Bibliometric Analysis.	https://www.ncbi.nlm.nih.gov/pubmed/29121851	Chaudhry Z, Mannan F, Gibson-White A, Syed U, Ahmed S, Kousoulis A, Majeed A.	J Innov Health Inform. 2017	none	none	NONE
37	The impact of differing glucose-lowering regimens on the pattern of association between glucose control and survival.	https://www.ncbi.nlm.nih.gov/pubmed/29119713	Currie CJ, Holden S, Jenkins-Jones S, Morgan CL, Voss B, Rajpathak SN, Alemayehu B, Peters JR, Engel SS.	Diabetes Obes Metab. 2017	T2D, glucose lowering therapy, metformin, T1D, Hba1c	none	NONE
38	Risk of skin cancer among patients with myotonic dystrophy type 1 based on primary care physician data from the U.K. Clinical Practice Research Datalink.	https://www.ncbi.nlm.nih.gov/pubmed/29114849	Wang Y, Pfeiffer RM, Alsaggaf R, Meeraus W, Gage JC, Anderson LA, Bremer RC, Nikolenko N, Lochmuller H, Greene MH, Gadalla SM.	Int J Cancer. 2017	Myotonic dystrophy type 1, skin cancer	Myotonic dystrophy type 1, skin cancer	CODE SET
39	Angiotensin receptor blocker use and gastro-oesophageal cancer survival: a population-based cohort study.	https://www.ncbi.nlm.nih.gov/pubmed/29105106	Busby J, McMenamin Ãš, Spence A, Johnston BT, Hughes C, Cardwell CR.	Aliment Pharmacol Ther. 2017	cancer, hypertension, cerebrovascular disease, chronic pulmonary disease, congestive heart disease, diabetes, liver disease, myocardial infarction, peptic ulcer disease, peripheral vascular disease, renal disease	all	CODE SET
40	Population-based Clinical Practice Research Datalink study using algorithm modelling to identify the true burden of hidradenitis suppurativa.	https://www.ncbi.nlm.nih.gov/pubmed/29094346	Ingram JR, Jenkins-Jones S, Knipe DW, Morgan CLI, Cannings-John R, Piguet V.	Br J Dermatol. 2017	hidradenitis suppurativa, skin boil, skin-directed antibiotic therapy, eczema, cellulitis or skin ulcers	all	CODE SET
41	Risk of uveitis and inflammatory bowel disease in people with psoriatic arthritis: a population-based cohort study.	https://www.ncbi.nlm.nih.gov/pubmed/29092855	Charlton R, Green A, Shaddick G, Snowball J, Nightingale A, Tillett W, Smith CH, McHugh N; PROMPT study group..	Ann Rheum Dis. 2017	Psoriatic arthritis, other inflammatory arthritis, psoriasis, uveitis and IBD	all	CODE SET
42	Inception and deprescribing of statins in people aged over 80 years: cohort study.	https://www.ncbi.nlm.nih.gov/pubmed/29088364	Gulliford M, Ravindrarajah R, Hamada S, Jackson S, Charlton J.	Age Ageing. 2017	statins, diabetes mellitus, coronary heart disease, stroke, Frailty status	coronary heart diseases split into angina, mi, cabg and others, stroke	NOT READv2
43	Prostate-specific antigen (PSA) testing of men in UK general practice: a 10-year longitudinal cohort study.	https://www.ncbi.nlm.nih.gov/pubmed/29084797	Young GJ, Harrison S, Turner EL, Walsh EI, Oliver SE, Ben-Shlomo Y, Evans S, Lane JA, Neal DE, Hamdy FC, Donovan JL, Martin RM, Metcalfe C.	BMJ Open. 2017	PSA tests and prostate biopsies	prostate cancer biopsies, prostate cancer	JUST OUTCOME SETS
44	Creating an index to measure health state of depressed patients in automated healthcare databases: the methodology.	https://www.ncbi.nlm.nih.gov/pubmed/29081921	FranÃ§ois C, Tanasescu A, Lamy FX, Despiegel N, Falissard B, Chalem Y, LanÃ§on C, Llorca PM, Saragoussi D, Verpillat P, Wade AG, Zighed DA.	J Mark Access Health Policy. 2017	antidepressant, depression, bipolar, schizophrenia, pregnancy and loads more	none	NONE
45	Exacerbation risk and characterisation of the UK's asthma population from infants to old age.	https://www.ncbi.nlm.nih.gov/pubmed/29074814	Bloom CI, Nissen F, Douglas IJ, Smeeth L, Cullinan P, Quint JK.	Thorax. 2017	asthma, asthma exacerbation, oral corticosteroids, A&E visit, hospital admission, antibiotics	all	CODE SET AVAILABLE ON REQUEST
